g_total,g_hinge,g_l1,d
"tf.Tensor(1.3368324, shape=(), dtype=float32)","tf.Tensor(-0.0027064078, shape=(), dtype=float32)","tf.Tensor(1.3395387, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.3361526, shape=(), dtype=float32)","tf.Tensor(-0.001845224, shape=(), dtype=float32)","tf.Tensor(1.3379977, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.3345761, shape=(), dtype=float32)","tf.Tensor(-0.0017737828, shape=(), dtype=float32)","tf.Tensor(1.3363503, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.3328493, shape=(), dtype=float32)","tf.Tensor(-0.0017451883, shape=(), dtype=float32)","tf.Tensor(1.3345945, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.3309695, shape=(), dtype=float32)","tf.Tensor(-0.0017293544, shape=(), dtype=float32)","tf.Tensor(1.3326988, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.328909, shape=(), dtype=float32)","tf.Tensor(-0.0017201427, shape=(), dtype=float32)","tf.Tensor(1.3306293, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.3266349, shape=(), dtype=float32)","tf.Tensor(-0.0017146997, shape=(), dtype=float32)","tf.Tensor(1.3283496, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.324088, shape=(), dtype=float32)","tf.Tensor(-0.0017113775, shape=(), dtype=float32)","tf.Tensor(1.3257993, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.3211657, shape=(), dtype=float32)","tf.Tensor(-0.0017092333, shape=(), dtype=float32)","tf.Tensor(1.3228749, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.3177093, shape=(), dtype=float32)","tf.Tensor(-0.0017077494, shape=(), dtype=float32)","tf.Tensor(1.319417, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.3134636, shape=(), dtype=float32)","tf.Tensor(-0.001706643, shape=(), dtype=float32)","tf.Tensor(1.3151702, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.3079714, shape=(), dtype=float32)","tf.Tensor(-0.0017057594, shape=(), dtype=float32)","tf.Tensor(1.3096772, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.3004013, shape=(), dtype=float32)","tf.Tensor(-0.0017050112, shape=(), dtype=float32)","tf.Tensor(1.3021064, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.2891732, shape=(), dtype=float32)","tf.Tensor(-0.0017043463, shape=(), dtype=float32)","tf.Tensor(1.2908776, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.2708961, shape=(), dtype=float32)","tf.Tensor(-0.0017037337, shape=(), dtype=float32)","tf.Tensor(1.2725998, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.2368617, shape=(), dtype=float32)","tf.Tensor(-0.0017031538, shape=(), dtype=float32)","tf.Tensor(1.238565, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.1721196, shape=(), dtype=float32)","tf.Tensor(-0.0017025954, shape=(), dtype=float32)","tf.Tensor(1.1738222, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.1346221, shape=(), dtype=float32)","tf.Tensor(-0.0017020497, shape=(), dtype=float32)","tf.Tensor(1.136324, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.0940877, shape=(), dtype=float32)","tf.Tensor(-0.001701514, shape=(), dtype=float32)","tf.Tensor(1.0957891, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.0564055, shape=(), dtype=float32)","tf.Tensor(-0.0017009889, shape=(), dtype=float32)","tf.Tensor(1.0581065, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.0228174, shape=(), dtype=float32)","tf.Tensor(-0.0017004762, shape=(), dtype=float32)","tf.Tensor(1.0245179, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(0.9963281, shape=(), dtype=float32)","tf.Tensor(-0.0016999771, shape=(), dtype=float32)","tf.Tensor(0.99802804, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(0.98785776, shape=(), dtype=float32)","tf.Tensor(-0.0016994986, shape=(), dtype=float32)","tf.Tensor(0.98955727, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(0.98118174, shape=(), dtype=float32)","tf.Tensor(-0.0016990431, shape=(), dtype=float32)","tf.Tensor(0.98288065, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(0.9745891, shape=(), dtype=float32)","tf.Tensor(-0.001698615, shape=(), dtype=float32)","tf.Tensor(0.97628766, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(0.96729475, shape=(), dtype=float32)","tf.Tensor(-0.0016982168, shape=(), dtype=float32)","tf.Tensor(0.9689931, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(0.9590483, shape=(), dtype=float32)","tf.Tensor(-0.0016978505, shape=(), dtype=float32)","tf.Tensor(0.96074605, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(0.9488638, shape=(), dtype=float32)","tf.Tensor(-0.0016975179, shape=(), dtype=float32)","tf.Tensor(0.95056146, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(0.9345841, shape=(), dtype=float32)","tf.Tensor(-0.0016972165, shape=(), dtype=float32)","tf.Tensor(0.9362812, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(0.9159766, shape=(), dtype=float32)","tf.Tensor(-0.0016969476, shape=(), dtype=float32)","tf.Tensor(0.91767335, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(0.8946752, shape=(), dtype=float32)","tf.Tensor(-0.0016967092, shape=(), dtype=float32)","tf.Tensor(0.8963719, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(0.86682725, shape=(), dtype=float32)","tf.Tensor(-0.0016964977, shape=(), dtype=float32)","tf.Tensor(0.8685238, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(0.84628046, shape=(), dtype=float32)","tf.Tensor(-0.0016963114, shape=(), dtype=float32)","tf.Tensor(0.84797674, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(0.83472496, shape=(), dtype=float32)","tf.Tensor(-0.0016961481, shape=(), dtype=float32)","tf.Tensor(0.8364211, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(0.82440126, shape=(), dtype=float32)","tf.Tensor(-0.0016960048, shape=(), dtype=float32)","tf.Tensor(0.82609725, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.3360115, shape=(), dtype=float32)","tf.Tensor(-0.003485722, shape=(), dtype=float32)","tf.Tensor(1.3394972, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.3354535, shape=(), dtype=float32)","tf.Tensor(-0.0024058616, shape=(), dtype=float32)","tf.Tensor(1.3378593, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
"tf.Tensor(1.3338035, shape=(), dtype=float32)","tf.Tensor(-0.002299715, shape=(), dtype=float32)","tf.Tensor(1.3361033, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
